Name,Category,Latitude,Longitude,Address,Phone,Website,Email,OSM_ID
Snack Corner,restaurant,12.8984603,77.6010688,Bannerghatta Road,N/A,N/A,N/A,247973288
Chai-Unchai,cafe,12.8944356,77.6024475,N/A,N/A,N/A,N/A,247974238
Unnamed Spot,restaurant,12.8973119,77.6015666,N/A,N/A,N/A,N/A,247976436
Gangothri Residency,hotel,12.9212938,77.6635656,Outer Ring Road,N/A,N/A,N/A,266324684
Ringview Residency,hotel,12.9214046,77.6639051,Outer Ring Road,N/A,N/A,N/A,266324687
Sukh Sagar,restaurant,12.9333646,77.6230728,Mahayogi Vemana Road,N/A,N/A,N/A,306585721
Crazy Boys,restaurant,12.9606568,77.6385011,N/A,N/A,N/A,N/A,312503506
Nandhini,restaurant,12.9619513,77.6419064,100 Feet Road,N/A,N/A,N/A,312508904
Nandhana,restaurant,12.9558995,77.6411692,N/A,N/A,N/A,N/A,312595492
Sukh Sagar,restaurant,12.9741824,77.5753745,N/A,N/A,N/A,N/A,314705276
Simply Native,restaurant,12.9651393,77.6383211,Paramahansa Yogananda Road,N/A,N/A,N/A,316999234
Adyar Ananda Bhavan,restaurant,12.9543746,77.5930172,N/A,N/A,N/A,N/A,317119985
Koshy's,restaurant,12.9756318,77.6014761,"Saint Mark's Road, Shanthala Nagar, Bangalore, 560001",N/A,N/A,N/A,349291886
Bob's Bar,pub,12.9344837,77.6130843,N/A,N/A,N/A,N/A,363167057
MMA Kababs,restaurant,12.9566296,77.7152069,"ITPL Main Road, Bangalore",N/A,N/A,N/A,413363132
Unnamed Spot,restaurant,12.9563782,77.7108662,"Varthur Road, 560037",+91-80-28540039,N/A,N/A,413368456
Pizza Hut,restaurant,12.9782249,77.640632,Chinmaya Mission Hospital Road,N/A,N/A,N/A,423744888
Cafe Coffee Day,cafe,12.9754961,77.6412437,100 Feet Road(S K Karim Khan Road),N/A,N/A,N/A,423744924
Konārk,restaurant,12.9688102,77.6021434,Beṅgaḷūru,+918041248812,N/A,N/A,423747691
Kamat Nandanvan,restaurant,13.0492109,77.547547,N/A,N/A,N/A,N/A,426926468
Old Madras Baking Company,cafe,12.9697383,77.6003775,"Sophia's Choice, Saint Mark's Road, Bangalore, 560001",N/A,N/A,N/A,428457212
Hard Rock Cafe,restaurant,12.9762256,77.6014809,Saint Mark's Road,N/A,N/A,N/A,428845624
Sri Raghavendra,restaurant,12.9778503,77.5722059,N/A,N/A,N/A,N/A,428851697
Hotel Hindustan,hotel,12.9762752,77.5767096,N/A,N/A,N/A,N/A,429697565
Anand Sagar Punjabi Dhaba,restaurant,12.9760075,77.5763577,N/A,N/A,N/A,N/A,429697569
Hotel Anand Regency,hotel,12.9769025,77.5763491,"2nd Cross, 6th Main Road, Gandhi Nagar, Bangalore, 560009",+91-80-41139572,N/A,N/A,429698095
Mavalli Tiffin Rooms,restaurant,12.9550389,77.5854279,"Lalbagh Road, 560027",+918022220022,https://www.mavallitiffinrooms.com/,N/A,429833271
