Name,Category,Latitude,Longitude,Address,Phone,Website,Email,OSM_ID
Swamy Hospital,hospital,12.8550625,77.6642727,Bengaluru,,,,266740082
Clinic,hospital,12.9134182,77.6774852,Bengaluru,,,,267214379
Shanti Hospital,hospital,12.9235041,77.5857517,Bengaluru,,,,303924572
Apollo Hospital,hospital,12.9263714,77.6765455,"74/1 Outer Ring Road Belandur, Bangalore 560037",+91-80-40222555,http://www.apolloclinicbangalore.com/,whitefield@theapolloclinic.com,307401529
Unnamed Medical Location,pharmacy,12.9314045,77.5924636,Bengaluru,,,,307413315
Narayana Hrudayalaya Dental Clinic,hospital,12.9155759,77.6349897,Outer Ring Road Bengaluru,,,,308866071
Dr Ganesh Medical and Diabetic Clinic,hospital,12.9129006,77.6419101,Bengaluru,,,,310393723
Ashwin Pharma,pharmacy,12.9600171,77.6454021,HAL Airport Road Bengaluru,,,,316995046
Unnamed Medical Location,pharmacy,12.9600511,77.6371358,Bengaluru,,,,316996472
Unnamed Medical Location,pharmacy,12.9586589,77.6375328,Bengaluru,,,,316996475
Unnamed Medical Location,pharmacy,12.9581727,77.6402029,Bengaluru,,,,316996550
Apollo Pharmacy,pharmacy,12.9686175,77.6489441,Bengaluru,,,,316999477
JBS Hospital,hospital,12.9207173,77.5745968,Kanakapura Road Bengaluru,,,,364629422
Unnamed Medical Location,veterinary,12.9232772,77.5819096,Bengaluru,,,,364629579
Jayanagar heart Centre,hospital,12.9231684,77.584433,Bengaluru,,,,364629734
Srujan Dental Care,dentist,13.0605539,77.6251495,Bengaluru,,,,412944393
Sri Vijayalakshmi Pragathi Hospital,hospital,13.0371728,77.6409543,Bengaluru,,,,443612463
MedPlus,pharmacy,13.0310427,77.6353019,Bengaluru,,,,454081212
Dental and Orthodontic Clinic,dentist,13.0192548,77.6366323,Bengaluru,,,,454141789
Sathya Hospital,hospital,13.0185503,77.6364728,Bengaluru,,,,454142398
Sathya Medicals,pharmacy,13.0183245,77.6364269,Bengaluru,,,,454142399
Ramakrishna Hospital,hospital,12.8500655,77.6624706,Bengaluru,+918040800300,http://rkhealth.com/,,459464857
